date,value,voltage
13-11-27,326.73,0.96
13-11-28,376.97,1.11
13-11-29,345.59,1.01
13-12-05,444.88,1.3
13-12-06,391.05,1.15
13-12-07,425.35,1.25
13-12-08,366,1.07
13-12-09,435.73,1.28
13-12-10,350.24,1.03
13-12-11,419.01,1.23
13-12-12,341.63,1
13-12-13,422.34,1.24
13-12-14,340.96,1
13-12-15,407.28,1.19
13-12-16,338.9,0.99
13-12-17,397.11,1.16
13-12-18,348.15,1.02
13-12-19,376.4,1.1
13-12-20,355.61,1.04
13-12-21,366.62,1.08
13-12-22,364.13,1.07
13-12-23,355.38,1.04
13-12-24,371.39,1.09
13-12-25,343.18,1.01
13-12-26,379.42,1.11
13-12-27,334.88,0.98
13-12-28,386.66,1.13
13-12-29,328.57,0.96
13-12-30,389.87,1.14
13-12-31,325.39,0.95
13-12-32,388.46,1.14
13-12-33,324.78,0.95
13-12-34,386.83,1.13
13-12-35,327.66,0.96
13-12-37,375.17,1.1
13-12-37,333.72,0.98
13-12-38,366.29,1.07
13-12-39,342.57,1
13-12-41,357.91,1.05
13-12-42,354.61,1.04
13-12-43,342.22,1
13-12-44,365.91,1.07
13-12-45,333.59,0.98
13-12-46,370.48,1.09
13-12-47,327.71,0.96
13-12-48,378.59,1.11
13-12-49,320.84,0.94
13-12-50,382.34,1.12
13-12-51,315.85,0.93
13-12-52,390.33,1.14
13-12-53,319.67,0.94
13-12-54,387.52,1.14
13-12-55,320.24,0.94
13-12-56,378.19,1.11
13-12-57,332.93,0.98
13-12-58,364.58,1.07
13-12-59,346.94,1.02
13-13-00,353.84,1.04
13-13-01,355.16,1.04
13-13-02,337.08,0.99
13-13-03,373.34,1.09
13-13-04,324.08,0.95
13-13-05,387.2,1.14
13-13-06,315.57,0.93
13-13-07,389.23,1.14
13-13-08,315.14,0.92
13-13-09,391.47,1.15
13-13-10,311.49,0.91
13-13-11,392.07,1.15
13-13-12,318.86,0.94
13-13-13,382.26,1.12
13-13-14,325.41,0.95
13-13-15,374.27,1.1
13-13-16,334.22,0.98
13-13-17,361.23,1.06
13-13-18,345.85,1.01
13-13-19,348.56,1.02
13-13-20,356.68,1.05
13-13-21,337.36,0.99
13-13-22,369.16,1.08
13-13-23,323.86,0.95
13-13-24,380,1.11
13-13-25,315.47,0.93
13-13-26,388.19,1.14
13-13-27,314.67,0.92
13-13-28,386.94,1.13
13-13-29,314.32,0.92
13-13-30,384.12,1.13
13-13-31,316.22,0.93
13-13-32,383.42,1.12
13-13-33,327,0.96
13-13-34,369.91,1.08
13-13-35,336.49,0.99
13-13-36,357.89,1.05
13-13-37,346.45,1.02
13-13-38,348.13,1.02
13-13-39,356.52,1.05
13-13-40,338.22,0.99
13-13-41,366.44,1.07
13-13-42,327.95,0.96
13-13-43,377.47,1.11
13-13-44,318.82,0.93
13-13-45,382.78,1.12
13-13-46,315.1,0.92
13-13-47,385.81,1.13
13-13-48,312.3,0.92
13-13-49,386.84,1.13
13-13-50,314.18,0.92
13-13-51,381.4,1.12
13-13-52,321.92,0.94
13-13-53,370.1,1.09
13-13-54,333.22,0.98
13-13-55,358.54,1.05
13-13-56,347.51,1.02
13-13-58,347.37,1.02
13-13-58,357.3,1.05
13-13-59,334.34,0.98
13-14-00,368.15,1.08
13-14-01,325.44,0.95
13-14-02,376.53,1.1
13-14-03,318.27,0.93
13-14-04,383.62,1.12
13-14-05,313.01,0.92
13-14-06,385.43,1.13
13-14-07,313.87,0.92
13-14-08,381.94,1.12
13-14-09,317.98,0.93
13-14-10,376.34,1.1
13-14-11,326.31,0.96
13-14-12,366.93,1.08
13-14-13,335.97,0.99
13-14-14,350.22,1.03
13-14-15,346.85,1.02
13-14-16,342.96,1.01
13-14-18,360.49,1.06
